Song,Liked,Played
"21 Savage, Offset & Metro Boomin  Ric Flair Drip (Lyrics) Going to the jeweler bust the AP yeah",0,0
DJ Khaled ft. Drake - GREECE (Lyrics),0,0
Kanye West  Hurricane (Lyrics) ft. The Weeknd & Lil Baby,0,0
Katy Perry  Roar (Lyrics),0,0
Katy Perry - Dark Horse (Lyrics) ft. Juicy J,0,0
Love Dose Song  Yo Yo Honey Singh  Song Lyrics  GOLD LYRICALS,0,0
Metro Boomin  Too Many Nights (Lyrics) Feat. Don Toliver & Future,0,0
No Love  Shubh (Lyrics),0,0
POPSTAR,0,0
Post Malone  rockstar (Lyrics) ft. 21 Savage,0,0
Roddy Ricch  The Box (Clean  Lyrics),0,0
Travis Scott  Can't Say (Lyrics  Lyric Video),0,0
Troye Sivan  Youth (Lyrics),0,0
